Is_CH,SCH_S,ADV_S,Expaned Energy,Data_Sent_To_BS,DATA_R,JOIN_R,JOIN_S,ADV_R,Rank,DATA_S,dist_CH_To_BS,Dist_To_CH,SCH_R,label
0,0,0,0.02922,0,0,0,1,2,36,14,0.0,40.87056,1,0
0,0,0,0.04939,0,0,0,1,4,1,25,0.0,64.00524,1,0
0,0,0,0.06189,0,0,0,1,3,33,35,0.0,60.90588,1,0
0,0,0,0.09515,0,0,0,1,4,9,55,0.0,21.77871,1,0
0,0,0,0.15383,0,0,0,1,6,5,90,0.0,31.79614,1,0
1,1,1,2.53667,76,1064,14,0,4,0,0,144.41859,0.0,0,0
0,0,0,0.06315,0,0,0,1,5,1,39,0.0,17.05275,1,0
1,1,1,2.40546,32,961,14,0,7,0,0,145.47059,0.0,0,2
0,0,0,0.00529,0,0,0,1,4,20,0,0.0,13.99931,1,0
0,0,0,0.45098,0,0,0,1,27,57,0,0.0,27.91344,0,0
0,0,0,0.24268,0,0,0,1,7,1,144,0.0,32.02504,1,0
0,0,0,1.04945,13,611,0,0,0,0,13,125.33277,0.0,0,0
0,0,0,0.09104,0,0,0,1,4,12,53,0.0,11.52891,1,0
1,8,1,0.0072,0,0,8,0,4,0,0,0.0,0.0,0,4
0,0,0,0.09292,0,0,0,1,4,1,53,0.0,29.77017,1,0
0,0,0,0.15096,0,0,0,1,6,3,90,0.0,10.91699,1,0
1,0,1,0.02192,0,0,0,0,25,0,0,0.0,0.0,0,2
0,0,0,0.07061,0,0,0,1,6,1,38,0.0,41.39693,1,0
0,0,0,0.15042,0,0,0,1,8,9,85,0.0,50.99501,1,0
0,0,0,1.12036,0,0,0,1,4,20,45,0.0,25.60411,1,0
0,0,0,0.63551,13,351,0,0,0,0,13,134.94822,0.0,0,0
0,0,0,0.10197,0,0,0,1,7,3,0,0.0,8.8178,0,0
0,0,0,0.10398,0,0,0,1,2,8,60,0.0,26.98501,1,0
0,0,0,0.07601,0,0,0,1,4,1,40,0.0,63.72382,1,0
0,0,0,0.63551,13,351,0,0,0,0,13,134.94822,0.0,0,0
0,0,0,0.15655,0,0,0,1,6,6,90,0.0,43.00102,1,0
0,0,0,0.0532,0,0,0,1,3,1,29,0.0,29.61543,1,0
0,0,0,0.15174,0,0,0,1,28,5,0,0.0,37.47917,0,0
0,0,0,0.02665,0,0,0,1,1,64,13,0.0,20.33317,1,0
0,0,0,0.0285,0,0,0,1,1,91,13,0.0,68.61548,1,0
0,0,0,0.08505,0,0,0,1,7,11,49,0.0,20.98717,1,0
0,0,0,0.08529,0,0,0,1,6,1,49,0.0,18.24333,1,0
0,0,0,0.16108,0,0,0,1,7,10,96,0.0,21.38593,1,0
0,0,0,0.03547,0,0,0,1,2,14,18,0.0,29.30115,1,0
0,0,0,0.11728,0,0,0,1,7,7,72,0.0,14.24401,1,0
0,0,0,0.05275,0,0,0,1,2,3,28,0.0,39.25742,1,0
0,0,0,0.07651,0,0,0,1,6,1,42,0.0,37.91875,1,0
0,0,0,0.03077,0,0,0,1,1,31,15,0.0,39.74295,1,0
0,0,0,0.08425,0,0,0,1,8,17,49,0.0,9.63505,1,0
0,0,0,0.08044,0,0,0,1,7,1,46,0.0,24.81269,1,0
0,0,0,1.39374,0,0,0,1,5,1,80,0.0,47.02687,1,0
0,0,0,0.43373,0,0,0,1,6,13,35,0.0,27.71371,1,0
0,0,0,0.1993,0,0,0,1,4,6,120,0.0,12.97754,1,0
0,0,0,0.04231,0,0,0,1,2,53,21,0.0,66.33115,1,0
0,0,0,0.18717,0,0,0,1,5,6,111,0.0,27.33525,1,0
1,0,1,0.04824,5,0,0,0,25,0,0,135.99113,0.0,0,2
0,0,0,0.05104,0,0,0,1,6,1,28,0.0,28.11352,1,0
0,0,0,0.06535,0,0,0,1,5,18,37,0.0,18.53689,1,0
0,0,0,1.06475,13,608,0,0,0,0,13,150.82997,0.0,0,0
1,1,1,2.54866,72,1080,15,0,6,0,0,129.29447,0.0,0,0
0,0,0,0.04353,0,0,0,1,3,1,21,0.0,64.2442,1,0
0,0,0,0.05573,0,0,0,1,3,6,27,0.0,69.16857,1,0
1,1,1,2.32222,15,1350,90,0,1,0,0,139.55967,0.0,0,0
0,0,0,0.26534,13,104,0,0,0,0,13,165.46205,0.0,0,0
1,1,1,2.01184,43,826,30,0,3,0,0,151.2167,0.0,0,2
0,0,0,1.32408,0,0,0,1,28,12,0,0.0,39.4494,0,0
0,0,0,1.40227,12,0,0,1,3,37,24,171.92921,34.76195,1,0
0,0,0,0.09744,0,0,0,1,4,10,57,0.0,12.26374,1,0
0,0,0,0.12176,0,0,0,1,6,15,72,0.0,18.1678,1,0
1,0,1,0.00451,0,0,0,0,25,0,0,0.0,0.0,0,1
0,0,0,0.14398,0,0,0,1,7,6,85,0.0,22.22316,1,0
0,0,0,0.10189,0,0,0,1,10,15,60,0.0,11.90567,1,0
0,0,0,0.18457,0,0,0,1,6,1,111,0.0,10.33649,1,0
1,0,1,0.00448,0,0,0,0,26,0,0,0.0,0.0,0,1
0,0,0,0.22046,0,0,0,1,12,1,131,0.0,22.55987,1,0
1,0,1,1.37221,0,225,15,0,6,0,0,89.79751,0.0,0,2
0,0,0,0.68322,0,0,0,1,4,0,0,0.0,2.44936,0,0
1,1,1,0.01171,0,1126,6,0,1,0,0,0.0,0.0,0,1
1,37,1,0.00717,0,0,37,0,1,0,0,0.0,0.0,0,4
1,1,1,1.83055,0,1200,12,0,6,0,0,0.0,0.0,0,1
1,0,1,1.38809,13,0,0,0,26,0,0,80.4455,0.0,0,0
0,0,0,0.1295,0,0,0,1,2,10,0,0.0,23.6252,0,0
0,0,0,0.06105,0,0,0,1,4,1,32,0.0,53.0663,1,0
0,0,0,0.21776,13,117,0,0,0,0,13,85.19329,0.0,0,0
0,0,0,0.0113,0,0,0,1,27,0,0,0.0,16.05963,0,0
0,0,0,0.24602,13,78,0,0,0,0,13,181.31284,0.0,0,0
0,0,0,0.08176,0,0,0,1,7,10,45,0.0,46.29395,1,0
0,0,0,0.05124,0,0,0,1,6,1,28,0.0,25.1755,1,0
0,0,0,0.09425,0,0,0,1,5,11,55,0.0,15.28384,1,0
1,1,1,1.62097,0,212,21,0,12,0,0,0.0,0.0,0,1
0,0,0,0.05193,0,0,0,1,2,29,28,0.0,38.68072,1,0
0,0,0,0.07301,0,0,0,1,4,1,45,0.0,20.84051,1,0
0,0,0,0.03941,0,0,0,1,4,28,21,0.0,10.37299,1,0
1,0,1,0.05805,0,0,0,0,0,0,0,0.0,0.0,0,2
0,0,0,0.54305,0,0,0,1,3,1,48,0.0,12.59071,1,0
0,0,0,0.05498,0,0,0,1,5,32,31,0.0,9.63223,1,0
0,0,0,0.09425,0,0,0,1,5,19,55,0.0,20.50759,1,0
0,0,0,0.00607,0,0,0,1,27,48,0,0.0,46.0739,0,0
0,0,0,0.07324,0,0,0,1,7,28,41,0.0,39.81665,1,0
0,0,0,0.23022,13,91,0,0,0,0,13,123.96292,0.0,0,0
0,0,0,0.11201,0,0,0,1,4,4,65,0.0,24.07597,1,0
0,0,0,0.18502,0,0,0,1,5,1,111,0.0,10.55238,1,0
0,0,0,0.05341,0,0,0,1,4,32,29,0.0,37.15119,1,0
0,0,0,0.05809,0,0,0,1,5,1,32,0.0,22.12929,1,0
1,0,14,0.87135,15,1212,0,0,28,0,0,99.50482,0.0,0,3
0,0,0,0.18378,0,0,0,1,28,0,0,0.0,12.013,0,0
0,0,0,0.09793,0,0,0,1,5,10,57,0.0,20.8475,1,0
0,0,0,0.14992,0,0,0,1,6,1,90,0.0,6.6892,1,0
0,0,0,0.63852,13,377,0,0,0,0,13,91.06845,0.0,0,0
0,0,0,0.11366,0,0,0,1,3,6,65,0.0,38.21423,1,0
0,0,0,0.08697,0,241,0,1,5,1,0,0.0,11.61112,1,0
0,0,0,0.12282,0,0,0,1,8,1,72,0.0,26.20047,1,0
0,0,0,2.30298,0,0,0,1,3,11,20,0.0,12.61448,1,0
0,0,0,0.21778,13,91,0,0,0,0,13,159.31297,0.0,0,0
0,0,0,0.09776,0,0,0,1,6,1,57,0.0,20.02359,1,0
0,0,0,0.07063,0,0,0,1,3,1,40,0.0,26.44165,1,0
0,0,0,0.05005,0,0,0,1,5,1,26,0.0,34.33253,1,0
0,0,0,0.05766,0,0,0,1,4,1,32,0.0,34.88349,1,0
0,0,0,0.04742,0,0,0,1,2,2,24,0.0,55.10421,1,0
0,0,0,0.02617,0,0,0,1,8,6,13,0.0,19.46379,1,0
0,0,0,0.04042,0,0,0,1,3,20,23,0.0,55.83157,1,0
0,0,0,0.63314,13,351,0,0,0,0,13,131.27562,0.0,0,0
0,0,0,0.08873,0,0,0,1,4,1,51,0.0,29.04867,1,0
1,0,1,0.03517,0,0,0,0,27,0,0,0.0,0.0,0,2
0,0,0,0.06491,0,0,0,1,3,1,36,0.0,37.97927,1,0
0,0,0,0.07295,0,0,0,1,6,12,42,0.0,15.10935,1,0
1,1,1,2.15996,0,640,4,0,8,0,0,118.73961,0.0,0,2
0,0,0,0.06665,0,0,0,1,6,1,38,0.0,2.60698,1,0
0,0,0,0.34659,0,0,0,1,9,1,206,0.0,33.17974,1,0
0,0,0,0.03964,0,0,0,1,2,35,21,0.0,25.03689,1,0
0,0,0,0.0428,0,0,0,1,2,47,23,0.0,30.147,1,0
0,0,0,0.19914,0,0,0,1,5,1,120,0.0,13.18302,1,0
0,0,0,0.07514,0,0,0,1,4,13,43,0.0,18.04252,1,0
1,0,1,0.03675,1,0,0,0,26,0,0,176.62353,0.0,0,2
0,0,0,0.04195,0,0,0,1,7,1,21,0.0,45.36973,1,0
0,0,0,0.04331,0,0,0,1,3,1,23,0.0,22.85537,1,0
1,0,1,0.00224,0,0,0,0,24,0,0,0.0,0.0,0,1
0,0,0,0.05926,0,0,0,1,4,28,33,0.0,30.32762,1,0
0,0,0,0.06311,0,0,0,1,5,22,36,0.0,4.20183,1,0
0,0,0,0.11096,38,0,0,1,5,5,65,110.43578,15.0519,1,0
0,0,0,0.08938,0,0,0,1,2,9,51,0.0,33.23006,1,0
0,0,0,0.07289,0,0,0,1,3,1,42,0.0,15.17406,1,0
0,0,0,0.10987,0,0,0,1,3,1,60,0.0,57.33678,1,0
0,0,0,0.17169,0,0,0,1,7,1,96,0.0,56.34872,1,0
0,0,0,0.083,0,0,0,1,7,8,48,0.0,3.96705,1,0
0,0,0,0.08833,0,0,0,1,6,16,51,0.0,24.25662,1,0
0,0,0,0.03484,0,0,0,1,4,53,18,0.0,29.31923,1,0
0,0,0,0.07255,0,0,0,1,6,1,41,0.0,27.4427,1,0
0,0,0,0.00614,0,0,0,1,27,29,0,0.0,33.32142,0,0
0,0,0,0.13087,0,0,0,1,6,1,76,0.0,30.91227,1,0
0,0,0,0.72719,0,0,0,1,3,1,26,0.0,9.38811,1,0
0,0,0,0.11668,0,0,0,1,5,1,68,0.0,29.25541,1,0
0,0,0,0.21896,0,0,0,1,7,6,131,0.0,23.59108,1,0
0,0,0,0.30081,0,0,0,1,5,7,103,0.0,10.58328,1,0
1,1,1,2.21712,49,1176,24,0,3,0,0,89.34337,0.0,0,0
1,0,1,0.00464,0,0,0,0,25,0,0,0.0,0.0,0,1
0,0,0,0.07031,0,0,0,1,7,21,39,0.0,39.19596,1,0
0,0,0,0.03732,0,0,0,1,4,1,19,0.0,39.27704,1,0
0,0,0,0.11178,0,0,0,1,5,5,65,0.0,23.76423,1,0
0,0,0,1.056,13,609,0,0,0,0,13,136.03878,0.0,0,0
0,0,0,0.65145,13,377,0,0,0,0,13,126.71753,0.0,0,0
0,0,0,0.03774,0,0,0,1,3,66,19,0.0,55.67023,1,0
0,0,0,0.19392,0,0,0,1,7,4,120,0.0,4.41022,1,0
0,0,0,0.67842,13,347,0,0,0,0,13,163.97117,0.0,0,0
0,0,0,0.11569,0,0,0,1,5,6,65,0.0,44.25507,1,0
0,0,0,0.05736,0,0,0,1,4,3,31,0.0,34.28613,1,0
0,0,0,0.05267,0,0,0,1,2,37,28,0.0,49.47503,1,0
0,0,0,0.07098,0,0,0,1,5,5,39,0.0,38.72916,1,0
0,0,0,0.03719,0,0,0,1,3,48,23,0.0,14.1426,1,0
0,0,0,0.11094,0,0,0,1,3,22,23,0.0,36.71061,1,0
1,0,1,0.00448,0,0,0,0,26,0,0,0.0,0.0,0,1
0,0,0,0.08294,0,0,0,1,3,1,46,0.0,41.19938,1,0
0,0,0,0.04437,0,0,0,1,2,31,23,0.0,49.24573,1,0
0,0,0,0.0449,0,0,0,1,3,45,24,0.0,35.88619,1,0
0,0,0,0.05643,0,0,0,1,3,1,32,0.0,3.36967,1,0
0,0,0,0.05003,0,0,0,1,5,28,27,0.0,34.93209,1,0
1,0,1,0.00224,0,0,0,0,23,0,0,0.0,0.0,0,1
0,0,0,0.05852,0,0,0,1,5,25,30,0.0,65.03285,1,0
0,0,0,0.14231,0,0,0,1,25,12,85,0.0,11.98781,1,0
0,0,0,0.17677,0,0,0,1,5,5,103,0.0,37.51026,1,0
0,0,0,0.04835,0,0,0,1,3,41,26,0.0,39.56446,1,0
0,0,0,0.13798,0,0,0,1,9,8,80,0.0,34.20889,1,0
0,0,0,0.0626,0,0,0,1,6,5,31,0.0,68.19729,1,0
0,0,0,0.15131,0,0,0,1,8,1,90,0.0,20.98856,1,0
0,0,0,0.93816,13,579,0,0,0,3,13,145.47059,0.0,0,0
0,0,0,0.05122,0,0,0,1,3,5,28,0.0,15.15728,1,0
1,0,1,0.00585,0,0,0,0,6,0,0,0.0,0.0,0,2
0,0,0,0.1721,0,0,0,1,9,5,103,0.0,9.85714,1,0
0,0,0,0.11115,0,0,0,1,10,5,53,0.0,26.76896,1,0
0,0,0,0.09164,0,0,0,1,7,5,53,0.0,19.6042,1,0
0,0,0,0.03368,0,0,0,1,1,47,17,0.0,39.4324,1,0
0,0,0,0.08399,0,0,0,1,10,5,51,0.0,15.88963,1,0
1,0,27,0.25353,10,0,1,0,27,0,0,82.92303,0.0,0,3
0,0,0,0.10638,0,0,0,1,10,3,62,0.0,19.56156,1,0
0,0,0,0.14658,0,0,0,1,7,5,90,0.0,2.94512,1,0
1,0,1,1.52576,13,0,0,0,4,0,0,136.03878,0.0,0,0
0,0,0,1.287,9,835,0,0,5,28,9,137.16228,0.0,0,0
0,0,0,0.1542,0,0,0,1,5,5,85,0.0,60.05104,1,0
0,0,0,0.05741,0,0,0,1,3,1,32,0.0,11.97327,1,0
0,0,0,0.35678,1,1,1,1,7,34,93,0.37971,25.74566,1,4
1,0,49,0.5742,13,425,0,0,28,0,0,72.07853,0.0,0,3
0,0,0,0.04088,0,0,0,1,3,1,21,0.0,40.08759,1,0
0,0,0,0.2648,24,0,0,1,11,2,160,150.69383,15.13291,1,0
0,0,0,0.0444,0,0,0,1,3,1,23,0.0,51.9358,1,0
1,1,1,2.24918,33,1254,38,0,1,0,0,95.19618,0.0,0,0
0,0,0,0.08557,37,0,0,1,5,16,48,84.97772,40.47404,1,0
0,0,0,0.10791,0,0,0,1,7,1,65,0.0,29.44137,1,0
0,0,0,0.08298,0,0,0,1,3,1,48,0.0,23.1214,1,0
0,0,0,0.19909,0,0,0,1,4,4,120,0.0,5.06392,1,0
0,0,0,0.09394,0,0,0,1,6,13,55,0.0,9.47421,1,0
1,1,1,1.96251,99,639,5,0,2,0,0,163.93996,0.0,0,2
0,0,0,0.54823,0,0,0,1,9,3,96,0.0,7.78251,1,0
0,0,0,1.06069,13,611,0,0,0,0,13,101.04838,0.0,0,0
1,1,1,2.32615,3,586,3,0,8,0,0,114.79387,0.0,0,2
0,0,0,0.03651,0,0,0,1,27,27,17,0.0,54.25608,1,0
0,0,0,0.13465,0,0,0,1,6,9,80,0.0,14.8356,1,0
0,0,0,0.04592,0,0,0,1,2,19,25,0.0,8.15831,1,0
0,0,0,0.03739,12,0,0,1,2,30,19,108.34705,39.25613,1,0
0,0,0,0.05068,0,0,0,1,6,23,28,0.0,12.26259,1,0
0,0,0,0.05985,0,0,0,1,3,1,33,0.0,27.74568,1,0
0,0,0,0.2373,0,0,0,1,7,3,144,0.0,3.81471,1,0
0,0,0,0.07784,0,0,0,1,5,12,45,0.0,17.87619,1,0
0,0,0,0.0698,0,0,0,1,8,1,39,0.0,18.68098,1,0
0,0,0,0.0601,0,0,0,1,4,25,34,0.0,15.18718,1,0
1,0,1,0.0134,0,1,0,0,25,0,0,0.0,0.0,1,1
0,0,0,0.08242,0,0,0,1,5,19,51,0.0,9.97023,1,0
0,0,0,0.66577,13,325,0,0,0,0,13,181.31284,0.0,0,0
0,0,0,0.1809,13,13,0,0,0,0,13,201.93494,0.0,0,0
1,1,1,2.45503,241,241,1,0,6,0,0,165.24027,0.0,0,0
0,0,0,0.25814,13,117,0,0,0,0,13,159.31297,0.0,0,0
0,0,0,0.13542,0,0,0,1,11,1,80,0.0,18.01794,1,0
1,1,1,1.29109,241,241,1,0,0,0,0,101.42024,0.0,0,0
0,0,0,0.06703,0,0,0,1,21,3,41,0.0,3.0131,1,0
0,0,0,0.09799,0,0,0,1,5,1,57,0.0,23.73833,1,0
0,0,0,1.44696,0,0,0,1,19,2,18,0.0,119.39823,1,0
1,0,1,0.00302,0,0,0,0,26,0,0,0.0,0.0,0,1
0,0,0,0.21469,0,0,0,1,28,3,0,0.0,47.84431,0,0
0,0,0,0.22978,0,0,0,1,4,3,131,0.0,50.44922,1,0
1,0,1,0.019,0,0,0,0,25,0,0,0.0,0.0,0,2
0,0,0,0.03133,2,0,0,1,1,72,15,126.82758,60.90149,1,0
0,0,0,0.1337,0,0,0,1,5,1,80,0.0,6.90014,1,0
0,0,0,0.04786,0,0,0,1,3,1,21,0.0,89.19138,1,0
1,21,1,0.00718,0,0,21,0,6,0,0,0.0,0.0,0,4
0,0,0,0.63591,13,325,0,0,0,0,13,159.31297,0.0,0,0
0,0,0,0.04944,0,0,0,1,24,21,27,0.0,16.26341,1,0
0,0,0,0.09528,0,0,0,1,4,1,55,0.0,24.06018,1,0
1,10,1,1.32803,0,4,23,0,9,0,0,0.65361,0.0,0,4
0,0,0,0.58349,0,0,0,1,28,1,181,0.0,14.31829,1,0
1,1,1,2.17218,241,241,1,0,7,0,0,136.25745,0.0,0,4
0,0,0,0.04611,0,0,0,1,3,1,20,0.0,95.32185,1,0
1,0,1,0.00452,0,0,0,0,24,0,0,0.0,0.0,0,1
0,0,0,0.0412,0,0,0,1,3,1,20,0.0,58.5847,1,0
0,0,0,0.17318,0,0,0,1,7,7,103,0.0,23.67418,1,0
0,0,0,0.14421,0,0,0,1,4,12,85,0.0,27.17634,1,0
0,0,0,0.17263,0,0,0,1,7,5,103,0.0,17.51853,1,0
1,40,1,0.02897,0,0,15,0,4,0,0,1.47302,0.0,0,4
0,0,0,0.00608,0,0,0,1,11,13,0,0.0,74.63953,0,0
0,0,0,0.09091,0,0,0,1,3,1,53,0.0,19.87939,1,0
1,0,1,0.01375,1,0,0,0,9,0,0,77.64101,0.0,0,2
0,0,0,0.07529,0,0,0,1,4,19,43,0.0,23.31744,1,0
0,0,0,0.08223,0,0,0,1,28,68,19,0.0,148.72822,1,0
0,0,0,0.05711,0,0,0,1,3,15,32,0.0,6.5328,1,0
0,0,0,0.06997,0,0,0,1,27,28,38,0.0,39.78857,1,0
0,0,0,0.06922,0,0,0,1,5,31,40,0.0,9.63223,1,0
1,24,1,0.00625,0,0,3,0,5,0,0,162.85791,0.15108,0,4
0,0,0,0.10558,0,0,0,1,5,18,62,0.0,21.13983,1,0
0,0,0,0.12776,0,0,0,1,10,9,76,0.0,9.91917,1,0
0,0,0,0.33727,0,0,0,1,6,2,206,0.0,4.48252,1,0
1,0,1,0.01124,0,8,0,0,7,0,0,0.0,0.0,0,1
0,0,0,0.05722,0,0,0,1,2,13,28,0.0,69.13609,1,0
0,0,0,0.18144,0,0,0,1,7,13,76,0.0,20.8951,1,0
0,0,0,0.25814,13,117,0,0,0,0,13,159.31297,0.0,0,0
0,0,0,0.27079,13,123,0,0,0,0,13,130.08535,0.0,0,0
0,0,0,0.02998,0,0,0,1,1,6,14,0.0,46.66905,1,0
0,0,0,0.10759,0,0,0,1,5,12,62,0.0,33.13767,1,0
1,0,1,0.00614,0,3,0,0,8,0,0,0.0,0.0,0,1
0,0,0,0.67919,13,325,0,0,0,0,13,160.481,0.0,0,0
1,17,1,0.00232,0,0,17,0,0,0,0,0.0,0.0,0,4
0,0,0,0.04097,0,0,0,1,5,53,21,0.0,54.33358,1,0
0,0,0,0.10361,0,0,0,1,7,17,60,0.0,30.59438,1,0
0,0,0,0.09863,0,0,0,1,6,13,57,0.0,26.28513,1,0
1,1,1,2.39326,38,1254,33,0,4,0,0,143.4233,0.0,0,0
1,17,1,1.72732,0,3,6,0,3,0,0,0.52881,0.0,0,4
0,0,0,0.03982,0,0,0,1,4,1,20,0.0,43.11548,1,0
0,0,0,0.14546,0,0,0,1,5,11,85,0.0,31.77193,1,0
1,0,1,0.02786,0,0,0,0,25,0,0,83.20792,0.0,0,2
0,0,0,1.41934,0,0,0,1,28,9,0,0.0,16.04685,0,0
0,0,0,0.17088,0,0,0,1,6,7,103,0.0,6.36398,1,0
0,0,0,0.16167,0,0,0,1,5,10,96,0.0,24.754,1,0
1,1,1,0.00731,0,1330,71,0,2,0,0,0.0,0.0,0,1
0,0,0,0.09058,0,0,0,1,9,2,51,0.0,37.0023,1,0
0,0,0,0.0947,0,0,0,1,5,8,55,0.0,16.25667,1,0
0,0,0,0.06281,0,0,0,1,4,1,33,0.0,54.97419,1,0
0,0,0,0.2639,0,0,0,1,5,3,160,0.0,11.4642,1,0
0,0,0,0.41919,0,0,0,1,1,82,15,0.0,50.23163,1,0
0,0,0,0.61409,13,351,0,0,0,0,13,134.29469,0.0,0,0
0,0,0,0.12205,0,0,0,1,7,4,72,0.0,14.47832,1,0
0,0,0,0.06054,0,0,0,1,3,1,34,0.0,10.10156,1,0
0,0,0,0.03856,0,0,0,1,2,29,23,0.0,17.01177,1,0
0,0,0,0.1874,20,0,0,1,4,2,111,88.49748,25.14122,1,0
0,0,0,0.02719,0,0,0,1,1,1,13,0.0,37.55859,1,0
0,0,0,0.06922,0,0,0,1,4,1,43,0.0,12.43987,1,0
1,1,1,0.00971,0,597,36,0,9,0,0,0.0,0.0,0,1
0,0,0,0.04552,0,0,0,1,3,1,25,0.0,14.99873,1,0
0,0,0,0.06236,0,0,0,1,4,29,35,0.0,27.57645,1,0
0,0,0,0.03668,0,0,0,1,5,5,17,0.0,56.90296,1,0
0,0,0,0.11633,0,0,0,1,6,2,65,0.0,46.77728,1,0
1,0,1,0.03643,29,0,0,0,25,0,0,157.21493,0.0,0,2
0,0,0,0.12159,0,0,0,1,5,14,72,0.0,17.12132,1,0
0,0,0,0.11056,0,0,0,1,8,14,65,0.0,20.28987,1,0
0,0,0,0.17464,0,0,0,1,7,1,103,0.0,28.03521,1,0
0,0,0,1.4599,0,0,0,1,10,1,181,0.0,10.04886,1,0
0,0,0,0.04364,0,0,0,1,2,19,23,0.0,34.14803,1,0
0,0,0,1.55145,0,0,0,1,6,1,144,0.0,5.77781,1,0
0,0,0,0.03345,0,0,0,1,2,12,15,0.0,76.13722,1,0
1,1,1,1.85795,15,1248,39,0,1,0,0,96.57363,0.0,0,2
0,0,0,0.07008,0,0,0,1,8,23,40,0.0,19.02866,1,0
0,0,0,0.16139,0,0,0,1,8,4,96,0.0,17.58629,1,0
1,0,1,2.23158,0,1,44,0,25,0,0,112.71473,0.0,0,2
0,0,0,0.03631,0,0,0,1,2,1,19,0.0,32.06193,1,0
1,0,14,0.63185,13,0,0,0,28,0,0,122.27536,0.0,0,3
0,0,0,0.13475,0,0,0,1,5,1,80,0.0,9.51088,1,0
0,0,0,0.21747,0,0,0,1,7,1,131,0.0,14.71308,1,0
0,0,0,0.05317,0,0,0,1,2,30,29,0.0,33.70252,1,0
0,0,0,0.18439,80,0,0,1,6,4,111,116.33051,3.95655,1,0
0,0,0,0.28746,13,65,0,0,0,0,13,201.93494,0.0,0,0
1,1,1,2.31363,51,960,10,0,4,0,0,156.97332,0.0,0,2
1,0,1,0.13518,2,0,0,0,25,0,0,124.97387,0.0,0,2
0,0,0,0.05576,0,0,0,1,5,26,31,0.0,22.84696,1,0
0,0,0,0.09352,0,0,0,1,7,19,55,0.0,3.07235,1,0
0,0,0,45.03258,0,0,0,1,2,5,19,0.0,31.17339,1,0
0,0,0,0.04584,0,0,0,1,5,16,24,0.0,39.97546,1,0
0,0,0,0.07155,0,0,0,1,4,1,41,0.0,22.36826,1,0
0,0,0,0.07964,0,0,0,1,5,17,46,0.0,7.85018,1,0
0,0,0,0.14205,0,0,0,1,6,1,85,0.0,11.28684,1,0
0,0,0,0.08556,0,0,0,1,5,1,49,0.0,31.35552,1,0
